Source Target Weight
张角 董卓 11 较少相关
张角 张飞 4 较少相关
张角 曹操 3 较少相关
张飞 刘备 124 相关
张飞 关羽 12 较少相关
张飞 张角 4 较少相关
张飞 董卓 26 较少相关
张飞 曹操 298 很相关
张飞 袁绍 26 较少相关
张飞 袁术 53 一般相关
张飞 黄盖 2 较少相关
张飞 吕布 205 相关
张飞 赵云 143 相关
张飞 许褚 75 一般相关
张飞 张辽 55 一般相关
张飞 郭嘉 2 较少相关
张飞 徐晃 13 较少相关
张飞 夏侯惇 63 一般相关
张飞 刘表 7 较少相关
张飞 孙权 24 较少相关
张飞 孔明 262 很相关
张飞 诸葛亮 32 较少相关
张飞 徐庶 4 较少相关
张飞 魏延 343 很相关
张飞 周瑜 19 较少相关
张飞 鲁肃 5 较少相关
张飞 刘璋 63 一般相关
张飞 黄忠 120 相关
张飞 庞统 13 较少相关
张飞 法正 28 较少相关
张飞 廖化 3 较少相关
张飞 吕蒙 2 较少相关
张飞 马超 455 密切相关
张飞 李严 1 较少相关
张飞 马谡 1 较少相关
张飞 司马懿 2 较少相关
刘备 关羽 3 较少相关
刘备 张飞 124 相关
刘备 曹操 400 密切相关
刘备 黄盖 6 较少相关
刘备 袁绍 89 一般相关
刘备 袁术 62 一般相关
刘备 董卓 7 较少相关
刘备 吕布 149 相关
刘备 郭嘉 18 较少相关
刘备 许褚 30 较少相关
刘备 周瑜 122 相关
刘备 孙权 169 相关
刘备 张昭 42 较少相关
刘备 张辽 22 较少相关
刘备 刘表 53 一般相关
刘备 夏侯惇 52 一般相关
刘备 典韦 1 较少相关
刘备 马腾 25 较少相关
刘备 赵云 73 一般相关
刘备 徐晃 12 较少相关
刘备 徐庶 68 一般相关
刘备 孔明 125 相关
刘备 刘璋 80 一般相关
刘备 司马懿 14 较少相关
刘备 诸葛亮 55 一般相关
刘备 鲁肃 44 较少相关
刘备 吕蒙 21 较少相关
刘备 陆逊 37 较少相关
刘备 庞统 16 较少相关
刘备 马超 37 较少相关
刘备 法正 30 较少相关
刘备 黄忠 18 较少相关
刘备 魏延 7 较少相关
刘备 姜维 2 较少相关
关羽 刘备 3 较少相关
关羽 张飞 12 较少相关
关羽 董卓 7 较少相关
关羽 曹操 14 较少相关
关羽 袁绍 5 较少相关
关羽 袁术 6 较少相关
关羽 黄盖 1 较少相关
关羽 吕布 2 较少相关
关羽 张辽 1 较少相关
关羽 刘璋 1 较少相关
关羽 赵云 7 较少相关
关羽 法正 2 较少相关
关羽 诸葛亮 2 较少相关
关羽 马超 1 较少相关
关羽 黄忠 1 较少相关
关羽 魏延 3 较少相关
关羽 孙权 1 较少相关
关羽 孔明 6 较少相关
曹操 张飞 298 很相关
曹操 董卓 58 一般相关
曹操 张角 3 较少相关
曹操 刘备 400 密切相关
曹操 袁绍 406 密切相关
曹操 袁术 151 相关
曹操 吕布 358 密切相关
曹操 夏侯惇 248 相关
曹操 马腾 169 相关
曹操 关羽 14 较少相关
曹操 黄盖 132 相关
曹操 郭嘉 66 一般相关
曹操 典韦 140 相关
曹操 张辽 267 很相关
曹操 许褚 311 很相关
曹操 徐晃 248 相关
曹操 周瑜 237 相关
曹操 孙权 412 密切相关
曹操 张昭 101 相关
曹操 刘表 215 相关
曹操 廖化 24 较少相关
曹操 赵云 173 相关
曹操 鲁肃 180 相关
曹操 徐庶 116 相关
曹操 孔明 496 密切相关
曹操 诸葛亮 98 一般相关
曹操 刘璋 62 一般相关
曹操 吕蒙 107 相关
曹操 司马懿 17 较少相关
曹操 陆逊 26 较少相关
曹操 庞统 41 较少相关
曹操 马超 349 很相关
曹操 法正 46 较少相关
曹操 黄忠 90 一般相关
曹操 魏延 46 较少相关
曹操 李严 1 较少相关
曹操 姜维 5 较少相关
董卓 张角 11 较少相关
董卓 张飞 26 较少相关
董卓 曹操 58 一般相关
董卓 吕布 244 相关
董卓 袁绍 43 较少相关
董卓 马腾 2 较少相关
董卓 关羽 7 较少相关
董卓 袁术 20 较少相关
董卓 黄盖 8 较少相关
董卓 刘备 7 较少相关
董卓 夏侯惇 9 较少相关
董卓 刘表 9 较少相关
董卓 赵云 2 较少相关
董卓 郭嘉 1 较少相关
董卓 张辽 5 较少相关
董卓 吕蒙 1 较少相关
董卓 陆逊 1 较少相关
董卓 孔明 7 较少相关
董卓 周瑜 2 较少相关
董卓 徐晃 4 较少相关
董卓 许褚 3 较少相关
董卓 法正 2 较少相关
董卓 诸葛亮 1 较少相关
董卓 马超 1 较少相关
董卓 黄忠 1 较少相关
董卓 魏延 1 较少相关
董卓 姜维 1 较少相关
袁绍 曹操 406 密切相关
袁绍 袁术 58 一般相关
袁绍 董卓 43 较少相关
袁绍 吕布 80 一般相关
袁绍 马腾 11 较少相关
袁绍 关羽 5 较少相关
袁绍 张飞 26 较少相关
袁绍 黄盖 16 较少相关
袁绍 刘备 89 一般相关
袁绍 夏侯惇 53 一般相关
袁绍 刘表 80 一般相关
袁绍 赵云 50 一般相关
袁绍 郭嘉 23 较少相关
袁绍 典韦 3 较少相关
袁绍 张辽 64 一般相关
袁绍 许褚 43 较少相关
袁绍 刘璋 4 较少相关
袁绍 徐晃 36 较少相关
袁绍 廖化 7 较少相关
袁绍 孙权 31 较少相关
袁绍 张昭 11 较少相关
袁绍 孔明 36 较少相关
袁绍 周瑜 6 较少相关
袁绍 鲁肃 9 较少相关
袁绍 诸葛亮 6 较少相关
袁绍 徐庶 6 较少相关
袁绍 庞统 1 较少相关
袁绍 吕蒙 3 较少相关
袁绍 陆逊 2 较少相关
袁绍 姜维 3 较少相关
吕布 董卓 244 相关
吕布 袁绍 80 一般相关
吕布 曹操 358 密切相关
吕布 黄盖 2 较少相关
吕布 刘备 149 相关
吕布 袁术 188 相关
吕布 关羽 2 较少相关
吕布 张飞 205 相关
吕布 夏侯惇 106 相关
吕布 郭嘉 20 较少相关
吕布 张辽 93 一般相关
吕布 典韦 66 一般相关
吕布 许褚 78 一般相关
吕布 刘表 36 较少相关
吕布 徐晃 21 较少相关
吕布 赵云 2 较少相关
吕布 鲁肃 5 较少相关
吕布 孔明 18 较少相关
吕布 张昭 4 较少相关
吕布 诸葛亮 3 较少相关
吕布 孙权 8 较少相关
吕布 周瑜 7 较少相关
吕布 马腾 4 较少相关
吕布 徐庶 6 较少相关
吕布 庞统 1 较少相关
吕布 刘璋 3 较少相关
吕布 马超 1 较少相关
吕布 姜维 3 较少相关
袁术 袁绍 58 一般相关
袁术 曹操 151 相关
袁术 关羽 6 较少相关
袁术 张飞 53 一般相关
袁术 董卓 20 较少相关
袁术 黄盖 15 较少相关
袁术 刘备 62 一般相关
袁术 吕布 188 相关
袁术 刘表 34 较少相关
袁术 郭嘉 11 较少相关
袁术 夏侯惇 13 较少相关
袁术 许褚 27 较少相关
袁术 典韦 12 较少相关
袁术 张辽 8 较少相关
袁术 徐晃 9 较少相关
袁术 周瑜 4 较少相关
袁术 孙权 8 较少相关
袁术 张昭 4 较少相关
袁术 刘璋 1 较少相关
袁术 孔明 14 较少相关
袁术 鲁肃 3 较少相关
袁术 诸葛亮 3 较少相关
袁术 徐庶 6 较少相关
袁术 马腾 3 较少相关
袁术 庞统 1 较少相关
袁术 姜维 3 较少相关
夏侯惇 曹操 248 相关
夏侯惇 袁绍 53 一般相关
夏侯惇 董卓 9 较少相关
夏侯惇 吕布 106 相关
夏侯惇 典韦 38 较少相关
夏侯惇 张辽 49 较少相关
夏侯惇 许褚 104 相关
夏侯惇 袁术 13 较少相关
夏侯惇 徐晃 28 较少相关
夏侯惇 郭嘉 17 较少相关
夏侯惇 刘备 52 一般相关
夏侯惇 刘表 24 较少相关
夏侯惇 张飞 63 一般相关
夏侯惇 赵云 54 一般相关
夏侯惇 司马懿 5 较少相关
夏侯惇 诸葛亮 40 较少相关
夏侯惇 徐庶 3 较少相关
